C.D.S.  -  SIMBAD4 rel 1.7  -  2019.03.13CET12:46:57

V < 4 & cat = 'hip'
-------------------

Number of objects : 512

 # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
138|* bet Col                |PM*|05 50 57.5921991 -35 46 05.915211      | 5.49 | 4.28 | 3.12 | 2.27 | 1.69 |K1III_CN+1            | 129|   0
139|* eta Col                |*  |05 59 08.8051933 -42 48 54.482180      | 6.18 | 5.10 | 3.96 | 3.14 | 2.56 |G8/K1II               |  61|   0
140|* eta Gem                |SB*|06 14 52.65715 +22 30 24.4596          | 6.55 | 4.89 | 3.28 | 1.79 | 0.48 |M2IIIa                | 239|   0
141|* gam Mon                |*  |06 14 51.3336645 -06 16 29.188011      | 6.69 | 5.27 | 3.96 | 2.99 | 2.36 |K1III:                |  96|   0
142|* zet CMa                |Ce*|06 20 18.7920398 -30 03 48.120242      | 2.12 | 2.83 | 3.00 |     ~|     ~|B2.5V                 | 147|   0
143|* del Col                |SB*|06 22 06.8169226859 -33 26 10.960575837| 5.25 | 4.73 | 3.85 | 3.18 | 2.71 |G7II                  |  71|   0
144|* mu. Gem                |LP*|06 22 57.62686 +22 30 48.8979          | 6.37 | 4.51 | 2.87 | 1.30 |-0.08 |M3IIIab               | 360|   1
145|* bet Mon                |** |06 28 49.06971 -07 01 59.0101          | 2.85 | 3.59 | 3.74 | 3.75 | 3.91 |B4Ve+B2Vn(e)+B3V:nne  | 218|   0
146|* bet CMa                |bC*|06 22 41.9853527 -17 57 21.307352      | 0.77 | 1.73 | 1.97 | 2.11 | 2.35 |B1II-III              | 672|   0
147|* eps Gem                |V* |06 43 55.9262590 +25 07 52.051484      | 5.85 | 4.39 | 2.98 | 2.01 | 1.40 |G8Ib                  | 376|   0
148|* gam Gem                |SB*|06 37 42.71050 +16 23 57.4095          | 1.98 | 1.92 | 1.92 | 1.86 | 1.87 |A1.5IV+               | 478|   0
149|* nu.02 CMa              |PM*|06 36 41.0375756 -19 15 21.165905      | 5.96 | 5.011| 3.91 | 3.13 | 2.61 |K1.5III-IVFe1         | 230|   1
150|* nu. Pup                |Ce*|06 37 45.6713527 -43 11 45.360171      | 2.65 | 3.06 | 3.17 | 3.17 | 3.24 |B8III                 | 127|   0
151|* tet Gem                |PM*|06 52 47.3388710 +33 57 40.517462      | 3.84 | 3.70 | 3.60 | 3.50 | 3.42 |A2IV                  | 120|   0
152|* ksi Gem                |PM*|06 45 17.3643205 +12 53 44.131127      | 3.85 | 3.79 | 3.36 | 2.97 | 2.74 |F5IV-V                | 196|   0
153|* omi01 CMa              |s*r|06 54 07.9531311183 -24 11 03.166770390| 7.59 | 5.60 | 3.87 | 2.70 | 1.88 |K2Iab                 | 157|   0
154|* kap CMa                |Be*|06 49 50.4593263 -32 30 30.522482      | 2.73 | 3.68 | 3.89 | 3.91 | 4.05 |B1.5Ve                | 267|   0
155|* zet Gem                |cC*|07 04 06.5307903 +20 34 13.073871      | 5.20 | 4.58 | 3.79 |     ~| 3.082|G1Ib                  | 519|   0
156|* omi02 CMa              |s*b|07 03 01.4721150 -23 49 59.852308      | 2.14 | 2.94 | 3.02 | 3.01 | 3.10 |B3Ia                  | 302|   0
157|* eps CMa                |*  |06 58 37.54876 -28 58 19.5102          | 0.36 | 1.29 | 1.50 | 1.59 | 1.80 |B1.5II                | 452|   1
158|* sig CMa                |LP*|07 01 43.1477846 -27 56 05.389774      | 7.08 | 5.20 | 3.47 | 2.15 | 1.15 |K5Ib                  | 160|   0
159|* lam Gem                |PM*|07 18 05.57977 +16 32 25.3905          |     ~| 3.674| 3.559|     ~|     ~|A4IV                  | 225|   0
160|* del CMa                |V* |07 08 23.4840514 -26 23 35.518484      | 3.06 | 2.52 | 1.84 | 1.33 | 1.00 |F8Ia                  | 321|   0
161|* ome CMa                |Be*|07 14 48.6538664 -26 46 21.609714      | 2.90 | 3.64 | 3.82 | 3.80 | 3.90 |B2.5Ve                | 321|   0
162|* pi. Pup                |LP*|07 17 08.55678 -37 05 50.8962          | 5.57 | 4.32 | 2.70 | 1.46 | 0.55 |K3Ib+B5+              |  99|   0
163|* iot Gem                |** |07 25 43.5953160 +27 47 53.092849      | 5.67 | 4.83 | 3.79 | 3.02 | 2.52 |G9IIIb                | 193|   0
164|* del Gem                |SB*|07 20 07.3797829 +21 58 56.337741      | 3.91 | 3.87 | 3.53 | 3.17 | 2.98 |F2VkF0mF0             | 222|   0
165|* bet CMi                |Be*|07 27 09.0417373 +08 17 21.536745      | 2.52 | 2.80 | 2.89 | 2.90 | 2.96 |B8Ve                  | 350|   0
166|* eta CMa                |s*b|07 24 05.70228 -29 18 11.1798          | 1.65 | 2.37 | 2.45 | 2.38 | 2.44 |B5Ia                  | 351|   0
167|* alf Gem                |** |07 34 35.87319 +31 53 17.8160          | 1.63 | 1.62 | 1.58 | 1.51 | 1.52 |A1V+A2Vm              | 230|   0
168|* alf CMi                |SB*|07 39 18.11950 +05 13 29.9552          | 0.82 | 0.79 | 0.37 |-0.05 |-0.28 |F5IV-V+DQZ            |1717|   0
